2021/09/13 17:10:13 Ip address: 192.168.8.103 ; Session id: 14005278-3574-4e79-b810-51c2a2a08882 ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/13 17:21:05 Ip address: 192.168.8.103 ; Session id: 14005278-3574-4e79-b810-51c2a2a08882 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/13 23:57:50 Ip address: 192.168.8.103 ; Session id: eb63e792-1347-41e3-8be2-097dd8f62ed6 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 00:00:14 Ip address:  ; Session id:  ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 00:02:05 Ip address: 192.168.8.103 ; Session id: eb63e792-1347-41e3-8be2-097dd8f62ed6 ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/14 00:04:06 Ip address: 192.168.8.103 ; Session id: 5f6fe4cb-00e0-4f65-bb2c-5128d347c44f ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 00:05:31 Ip address: 192.168.8.103 ; Session id: 8e680bac-4b60-4601-a8e1-5bfc071020db ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/14 00:07:52 Ip address: 192.168.8.103 ; Session id: 8e680bac-4b60-4601-a8e1-5bfc071020db ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 00:10:36 Ip address: 192.168.8.103 ; Session id: 8e680bac-4b60-4601-a8e1-5bfc071020db ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 00:14:02 Ip address: 192.168.8.103 ; Session id: 8e680bac-4b60-4601-a8e1-5bfc071020db ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 00:17:51 Ip address: 192.168.8.103 ; Session id: 8e680bac-4b60-4601-a8e1-5bfc071020db ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 00:21:19 Ip address: 192.168.8.103 ; Session id: 8e680bac-4b60-4601-a8e1-5bfc071020db ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 00:22:13 Ip address: 192.168.8.103 ; Session id: 8e680bac-4b60-4601-a8e1-5bfc071020db ; Url: http://blog.logrocket.com/web-scraping-with-go-and-colly/  ;  Domain; logrocket.com 	
2021/09/14 02:15:05 Ip address: 192.168.8.103 ; Session id: 96bf4e2a-9799-4b35-a00d-75628e381844 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 02:15:26 Ip address: 192.168.8.103 ; Session id: 96bf4e2a-9799-4b35-a00d-75628e381844 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 02:17:59 Ip address: 192.168.8.103 ; Session id: 96bf4e2a-9799-4b35-a00d-75628e381844 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 02:19:34 Ip address: 192.168.8.103 ; Session id: 96bf4e2a-9799-4b35-a00d-75628e381844 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
